,,Random Forest,LightGBM,KNN,Neural Network
CIC-IDS2017,SMOTE_PCA,0.9999746031746032,0.9999587301587302,0.9997269841269841,0.9998571428571429
CIC-IDS2017,SMOTE_Kbest,0.9999904761904762,1.0,0.9930126984126985,0.43462222222222224
CIC-IDS2017,NoSMOTE_PCA,0.9999015873015873,0.9836825396825397,0.9997809523809523,0.9998761904761905
CIC-IDS2017,NoSMOTE_Kbest,0.9999809523809524,0.9252031746031746,0.9913015873015874,0.8029047619047619
UNSW-NB15,SMOTE_PCA,0.9999460317460317,0.9999428571428571,0.9993460317460318,0.9989587301587302
UNSW-NB15,SMOTE_Kbest,0.9999650793650794,1.0,0.9591206349206349,0.1428761904761905
UNSW-NB15,NoSMOTE_PCA,0.9997904761904762,0.9743428571428572,0.9992825396825397,0.9993873015873016
UNSW-NB15,NoSMOTE_Kbest,0.9997619047619047,1.0,0.9801904761904762,0.9745777777777778
