,BENIGN,Bot,Brute Force,DDoS,DoS,Port Scan,Web Attack
BENIGN,197,2,0,0,0,0,0
Bot,0,193,0,0,0,0,0
Brute Force,0,0,191,1,0,0,0
DDoS,0,0,0,200,0,0,0
DoS,1,0,1,0,207,0,0
Port Scan,0,1,0,0,0,212,0
Web Attack,0,0,0,0,0,0,194
