Model,Accuracy,F1 Score,Execution Time
RF_CICIDS2017,0.9928571428571429,0.9924340467894475,0.16739606857299805
k-NN_CICIDS2017,0.9642857142857143,0.9626289767466238,0.04327392578125
LGBM_CICIDS2017,0.9857142857142858,0.9860966200438576,0.41204261779785156
NN_CICIDS2017,0.9142857142857143,0.9106324996842238,10.00571870803833
XGBoost_CICIDS2017,0.9714285714285714,0.9690404036178932,0.29637932777404785
RF_CICIDS2018,0.9833333333333333,0.984090909090909,0.15239286422729492
k-NN_CICIDS2018,0.9666666666666667,0.9684132292827945,0.010568380355834961
LGBM_CICIDS2018,0.9833333333333333,0.984090909090909,0.32143354415893555
NN_CICIDS2018,0.9416666666666667,0.9403769841269841,9.1844642162323
XGBoost_CICIDS2018,0.9833333333333333,0.984090909090909,0.18572783470153809
RF_CICIDS2019,0.971875,0.9692138686940572,0.17656397819519043
k-NN_CICIDS2019,0.853125,0.8482887499753523,0.01755833625793457
LGBM_CICIDS2019,0.96875,0.9672625047283684,1.142744779586792
NN_CICIDS2019,0.665625,0.6297843300461481,6.286959409713745
XGBoost_CICIDS2019,0.96875,0.9667271822997481,0.6601924896240234
RF_UNSW-NB15,0.9714285714285714,0.9714733679019394,0.1665363311767578
k-NN_UNSW-NB15,0.95,0.9510146547969377,0.010924100875854492
LGBM_UNSW-NB15,0.9714285714285714,0.9713496582268882,0.4732949733734131
NN_UNSW-NB15,0.7071428571428572,0.682306943872672,6.596487522125244
XGBoost_UNSW-NB15,0.9714285714285714,0.9722446393688672,0.27039027214050293
RF_CICIDS2017_CICIDS2018,0.99375,0.9939024390243902,0.16437530517578125
k-NN_CICIDS2017_CICIDS2018,0.90625,0.9054195003972165,0.011593818664550781
LGBM_CICIDS2017_CICIDS2018,0.975,0.9754419191919192,0.5294578075408936
NN_CICIDS2017_CICIDS2018,0.85625,0.8450596438852783,5.99669885635376
XGBoost_CICIDS2017_CICIDS2018,0.98125,0.9799637158184257,0.2614617347717285
RF_CICIDS2017_CICIDS2019,0.9840909090909091,0.983546499390545,0.18030762672424316
k-NN_CICIDS2017_CICIDS2019,0.8363636363636363,0.8260864841499264,0.020730972290039062
LGBM_CICIDS2017_CICIDS2019,0.9886363636363636,0.9879540584033673,1.72774338722229
NN_CICIDS2017_CICIDS2019,0.7431818181818182,0.7260072342867411,10.584203004837036
XGBoost_CICIDS2017_CICIDS2019,0.975,0.9731591796168696,0.9171102046966553
RF_CICIDS2017_UNSW-NB15,0.9875,0.988036408036408,0.17858242988586426
k-NN_CICIDS2017_UNSW-NB15,0.8916666666666667,0.8874492877072856,0.014249086380004883
LGBM_CICIDS2017_UNSW-NB15,0.975,0.9772134878517856,0.9490032196044922
NN_CICIDS2017_UNSW-NB15,0.7833333333333333,0.7757534741733899,9.3871328830719
XGBoost_CICIDS2017_UNSW-NB15,0.9708333333333333,0.9731778880034695,0.46774935722351074
