,BENIGN,Bot,Brute Force,DDoS,DoS,Infiltration,Port Scan,Web Attack
BENIGN,19,0,0,0,0,2,0,0
Bot,0,23,0,0,0,0,0,0
Brute Force,0,0,20,0,0,0,0,0
DDoS,0,0,0,14,0,0,0,0
DoS,0,0,0,0,17,2,0,0
Infiltration,0,0,0,0,0,20,0,0
Port Scan,0,0,0,0,0,0,16,0
Web Attack,0,0,0,0,0,0,0,27
