,BENIGN,Bot,Brute Force,DDoS,DoS,Exploits,Fuzzers,Generic,Infiltration,Reconnaissance,Shellcode
BENIGN,10,0,0,0,0,0,0,0,0,0,0
Bot,0,28,0,0,0,0,0,0,0,0,0
Brute Force,0,0,18,0,0,0,0,0,0,0,0
DDoS,0,0,0,14,0,0,0,0,0,0,0
DoS,0,0,0,0,18,0,0,0,0,0,0
Exploits,0,0,0,0,0,19,0,0,0,0,0
Fuzzers,0,0,0,0,0,0,21,3,1,1,2
Generic,0,0,0,0,0,3,0,17,1,0,1
Infiltration,0,0,3,0,0,0,0,0,20,1,0
Reconnaissance,0,0,0,0,0,0,0,0,0,15,2
Shellcode,0,0,0,0,0,0,1,1,0,3,17
