Batch Size,Prediction Time (s)
4279,0.06469058990478516
3749,0.054483890533447266
4918,0.07252645492553711
4207,0.06358528137207031
2138,0.03769969940185547
2103,0.03636026382446289
4488,0.06597518920898438
2489,0.04113316535949707
3124,0.048207998275756836
2406,0.03995347023010254
3509,0.05240273475646973
3035,0.05186343193054199
3856,0.06558609008789062
3142,0.04893636703491211
3236,0.049265146255493164
3052,0.047239065170288086
2039,0.04588675498962402
4269,0.061841487884521484
4634,0.06542825698852539
3515,0.05279850959777832
2371,0.040317535400390625
3859,0.05592823028564453
4543,0.07378649711608887
3948,0.058774471282958984
4833,0.07024574279785156
2033,0.03680920600891113
3684,0.06006145477294922
4894,0.07083749771118164
2223,0.03783273696899414
2968,0.04664134979248047
3109,0.04832267761230469
3074,0.049001455307006836
2534,0.05111217498779297
2081,0.03623247146606445
2015,0.040807485580444336
3092,0.04905843734741211
3625,0.0534512996673584
4356,0.06480002403259277
3522,0.05233168601989746
2197,0.04319047927856445
4345,0.06587100028991699
2908,0.04593610763549805
4314,0.06346273422241211
4688,0.06945443153381348
2174,0.03740525245666504
3231,0.05044245719909668
4754,0.06888270378112793
2521,0.041278839111328125
3630,0.05340743064880371
2819,0.0442502498626709
3955,0.05749392509460449
3577,0.05252814292907715
3442,0.05176424980163574
4029,0.057653188705444336
2365,0.03907966613769531
4298,0.06348800659179688
4772,0.07013750076293945
3310,0.049538373947143555
4020,0.062131643295288086
4329,0.06704187393188477
4244,0.06301331520080566
3422,0.05094718933105469
4444,0.06527328491210938
2926,0.05202746391296387
2398,0.03986954689025879
2335,0.03987765312194824
4257,0.0670628547668457
2046,0.04332876205444336
3357,0.05107569694519043
2761,0.04392242431640625
2995,0.046697378158569336
4159,0.06060433387756348
3866,0.06541824340820312
3028,0.046646833419799805
4442,0.06717276573181152
2567,0.041465044021606445
2686,0.04251909255981445
3757,0.05461764335632324
2752,0.043230295181274414
4727,0.06727957725524902
4597,0.06743764877319336
4348,0.0633699893951416
3551,0.05359172821044922
3829,0.05526876449584961
4025,0.05843043327331543
2841,0.04427385330200195
2132,0.03660893440246582
3617,0.05328989028930664
3096,0.05592656135559082
4698,0.06790852546691895
2105,0.03667473793029785
2611,0.04283928871154785
2471,0.04127001762390137
4235,0.06142616271972656
2609,0.04276323318481445
2968,0.0468142032623291
2285,0.03831362724304199
2603,0.0425419807434082
3491,0.05287504196166992
3356,0.05029773712158203
